Timestamp,RD212,Bore Hole,Meter
1,-1.65462228,2,12
2,-2.468531404,2,12
3,-2.460916184,2,12
4,-2.460916184,2,12
5,-2.460916184,2,12
6,-2.460916184,2,12
7,-2.460916184,2,12
8,-2.460916184,2,12
9,-2.460916184,2,12
10,-2.460916184,2,12
11,-2.460916184,2,12
12,-2.460916184,2,12
13,-2.460916184,2,12
14,-2.460916184,2,12
15,-2.460916184,2,12
16,-2.460916184,2,12
17,-2.460916184,2,12
18,-2.460916184,2,12
19,-2.460916184,2,12
20,-2.460916184,2,12
21,-2.460916184,2,12
22,-2.460916184,2,12
23,-2.460916184,2,12
24,-2.460916184,2,12
25,-2.460916184,2,12
26,-2.460916184,2,12
27,-2.460916184,2,12
28,-2.460916184,2,12
29,-2.460916184,2,12
30,-2.460916184,2,12
31,-2.460916184,2,12
32,-2.460916184,2,12
33,-2.460916184,2,12
34,-2.460916184,2,12
35,-2.460916184,2,12
36,-2.460916184,2,12
37,-2.460916184,2,12
38,-2.460916184,2,12
39,-2.460916184,2,12
40,-2.460916184,2,12
41,-2.460916184,2,12
42,-2.460916184,2,12
43,-2.460916184,2,12
44,-2.460916184,2,12
45,-2.460916184,2,12
46,-2.460916184,2,12
47,-2.460916184,2,12
48,-2.460916184,2,12
49,-2.460916184,2,12
50,-2.460916184,2,12
51,-2.460916184,2,12
52,-2.460916184,2,12
53,-2.460916184,2,12
54,-2.460916184,2,12
55,-2.460916184,2,12
56,-2.460916184,2,12
57,-2.460916184,2,12
58,-2.460916184,2,12
59,-2.460916184,2,12
60,-2.460916184,2,12
61,-2.460916184,2,12
62,-2.460916184,2,12
63,-2.460916184,2,12
64,-2.460916184,2,12
65,-2.460916184,2,12
66,-2.460916184,2,12
67,-2.460916184,2,12
68,-2.460916184,2,12
69,-2.460916184,2,12
70,-2.460916184,2,12
71,-2.460916184,2,12
72,-2.460916184,2,12
73,-2.460916184,2,12
74,-2.460916184,2,12
75,-2.460916184,2,12
76,-2.460916184,2,12
77,-2.460916184,2,12
78,-2.460916184,2,12
