Timestamp,RD13,Bore Hole,Meter
1,-1.516378855,1,3
2,-2.457897695,1,3
3,-2.394432323,1,3
4,-2.406428166,1,3
5,-2.436177617,1,3
6,-2.407972855,1,3
7,-2.394205495,1,3
8,-2.320598124,1,3
9,-2.248855607,1,3
10,-2.218408219,1,3
11,-2.183883327,1,3
12,-2.146146267,1,3
13,-2.125229754,1,3
14,-2.111597937,1,3
15,-2.077219591,1,3
16,-2.260971944,1,3
17,-2.530968476,1,3
18,-2.54735546,1,3
19,-2.599865478,1,3
20,-2.629674941,1,3
21,-2.660391621,1,3
22,-2.651821164,1,3
23,-2.622083639,1,3
24,-2.5951068,1,3
25,-2.79056791,1,3
26,-1.821016314,1,3
27,-1.80772091,1,3
28,-1.818181518,1,3
29,-0.09220801942,1,3
30,1.713078827,1,3
31,0.5964587858,1,3
32,-5.532028768,1,3
33,-5.532028768,1,3
34,-5.532028768,1,3
35,-5.532028768,1,3
36,-5.532028768,1,3
37,-5.532028768,1,3
38,-5.532028768,1,3
39,-5.532028768,1,3
40,-5.532028768,1,3
41,-5.532028768,1,3
42,-5.532028768,1,3
43,-5.532028768,1,3
44,-5.532028768,1,3
45,-5.532028768,1,3
46,-5.532028768,1,3
47,-5.532028768,1,3
48,-5.532028768,1,3
49,-5.532028768,1,3
50,-5.532028768,1,3
51,-5.532028768,1,3
52,-5.532028768,1,3
53,-5.532028768,1,3
54,-5.532028768,1,3
55,-5.532028768,1,3
56,-5.532028768,1,3
57,-5.532028768,1,3
58,-5.532028768,1,3
59,-5.532028768,1,3
60,-5.532028768,1,3
61,-5.532028768,1,3
62,-5.532028768,1,3
63,-5.532028768,1,3
64,-5.532028768,1,3
65,-5.532028768,1,3
66,-5.532028768,1,3
67,-5.532028768,1,3
68,-5.532028768,1,3
69,-5.532028768,1,3
70,-5.532028768,1,3
71,-5.532028768,1,3
72,-5.532028768,1,3
73,-5.532028768,1,3
74,-5.532028768,1,3
75,-5.532028768,1,3
76,-5.532028768,1,3
77,-5.532028768,1,3
78,-5.532028768,1,3
