Timestamp,RD415,Bore Hole,Meter
1,-0.03169078974,4,15
2,-0.003388594191,4,15
3,-0.5657835869,4,15
4,-1.233648833,4,15
5,-3.266739465,4,15
6,-3.271326929,4,15
7,-3.328469998,4,15
8,-3.33546857,4,15
9,-3.345920621,4,15
10,-3.336595385,4,15
11,-3.318014278,4,15
12,-3.300592884,4,15
13,-3.294264032,4,15
14,-3.290863524,4,15
15,-3.282537259,4,15
16,-3.270019548,4,15
17,-3.272493019,4,15
18,-3.268454088,4,15
19,-3.268400954,4,15
20,-3.268524976,4,15
21,-3.268587086,4,15
22,-3.268507286,4,15
23,-3.268285568,4,15
24,-3.268275628,4,15
25,-3.264736616,4,15
26,-3.260932012,4,15
27,-3.250060459,4,15
28,-3.182955802,4,15
29,-3.200478994,4,15
30,-3.201976419,4,15
31,-3.223705528,4,15
32,-3.267803173,4,15
33,-3.330115306,4,15
34,-3.257597816,4,15
35,-3.271133877,4,15
36,-3.272083617,4,15
37,-3.269053145,4,15
38,-3.27256327,4,15
39,-3.282132766,4,15
40,-3.274543295,4,15
41,-3.276536748,4,15
42,-3.278428375,4,15
43,-3.290459389,4,15
44,-3.293611091,4,15
45,-3.298347998,4,15
46,-3.28947842,4,15
47,-3.292037213,4,15
48,-3.289856161,4,15
49,-3.288559294,4,15
50,-3.29017019,4,15
51,-3.287528372,4,15
52,-3.2927512,4,15
53,-3.299265683,4,15
54,-3.296647344,4,15
55,-3.295596029,4,15
56,-3.285466255,4,15
57,-3.281968414,4,15
58,-3.280506185,4,15
59,-3.279972524,4,15
60,-3.279567695,4,15
61,-3.280855133,4,15
62,-3.279383426,4,15
63,-3.276818308,4,15
64,-3.276040667,4,15
65,-3.301767849,4,15
66,-3.494866676,4,15
67,-3.539125866,4,15
68,-3.381886499,4,15
69,-3.353311273,4,15
70,-3.326685729,4,15
71,-3.299116524,4,15
72,-3.306664211,4,15
73,-3.265070266,4,15
74,-3.200865405,4,15
75,-3.229991859,4,15
76,-3.229991859,4,15
77,-3.229991859,4,15
78,-3.229991859,4,15
