Timestamp,RD515,Bore Hole,Meter
1,0.1306481195,5,15
2,-0.1089579002,5,15
3,-0.09309790545,5,15
4,-0.09854522719,5,15
5,-0.05289279909,5,15
6,-0.1890170324,5,15
7,-0.03702969766,5,15
8,-0.5457689897,5,15
9,-0.03910576099,5,15
10,-0.03202088274,5,15
11,-0.05783182459,5,15
12,-0.07228993678,5,15
13,-0.0308696862,5,15
14,-0.3367524964,5,15
15,-0.3341440414,5,15
16,-3.478462358,5,15
17,-3.542727275,5,15
18,-3.410678761,5,15
19,-3.839641984,5,15
20,-4.38567764,5,15
21,-4.284687148,5,15
22,-4.607886667,5,15
23,-3.93010875,5,15
24,-3.468199295,5,15
25,-3.164855846,5,15
26,-2.39670965,5,15
27,-2.369556119,5,15
28,-2.358912882,5,15
29,-2.40113721,5,15
30,-2.43405835,5,15
31,-2.572184803,5,15
32,-2.495356106,5,15
33,-2.445072169,5,15
34,-2.460726949,5,15
35,-2.441767038,5,15
36,-2.534225294,5,15
37,-2.425403299,5,15
38,-2.351106363,5,15
39,-2.554238893,5,15
40,-2.67734275,5,15
41,-2.62850411,5,15
42,-2.749410819,5,15
43,-2.95210745,5,15
44,-2.945003719,5,15
45,-2.938296494,5,15
46,-2.962357643,5,15
47,-2.950661929,5,15
48,-3.018825781,5,15
49,-2.418163764,5,15
50,-2.416241412,5,15
51,-2.390517393,5,15
52,-2.446826492,5,15
53,-2.554888952,5,15
54,-2.431366886,5,15
55,-1.318754208,5,15
56,0.9245952894,5,15
57,-1.701303926,5,15
58,-0.2491748074,5,15
59,-0.592632385,5,15
60,-2.525367195,5,15
61,0.785653044,5,15
62,0.9063023466,5,15
63,0.3738717857,5,15
64,-0.3475760253,5,15
65,-2.284447612,5,15
66,0.7554044368,5,15
67,0.9036647041,5,15
68,0.8586184107,5,15
69,0.6795725455,5,15
70,0.5748629972,5,15
71,-1.735884196,5,15
72,-1.861211935,5,15
73,-3.012841447,5,15
74,-2.683309485,5,15
75,-2.451250144,5,15
76,-2.451250144,5,15
77,-2.451250144,5,15
78,-2.451250144,5,15
